CollegeName,CollegeCode,CourseName,Category,CutoffRank,Location
,,EB EAT,1G,56189.0,Bangalore
,,EB EAT,2BK,63522.0,Bangalore
,,EB EAT,2BR,49078.0,Bangalore
,,EB EAT,3AR,47541.0,Bangalore
,,EB EAT,3BG,86455.0,Bangalore
,,ZC CSC,2AG,80712.0,Bangalore
,,ZC CSC,3BG,82368.0,Bangalore
,,ZC CSC,GM,80204.0,Bangalore
,,ZC CSC,GMP,154735.0,Bangalore
,,ZC CSC,OTH,168075.0,Bangalore
,,ZC CSC,SCK,171289.0,Bangalore
,,DM B.TECH IN CS NW,1G,68486.0,Bangalore
,,DM B.TECH IN CS NW,2AR,66715.0,Bangalore
,,DM B.TECH IN CS NW,2BR,48732.0,Bangalore
,,DM B.TECH IN CS NW,3AR,44480.0,Bangalore
,,DM B.TECH IN CS NW,3BR,39274.0,Bangalore
,,DM B.TECH IN CS NW,GM,79929.0,Bangalore
,,DL B.TECH IN CS,1G,85679.0,Bangalore
,,DL B.TECH IN CS,GM,68575.0,Bangalore
,,DL B.TECH IN CS,GMK,79464.0,Bangalore
,,DL B.TECH IN CS,OTH,201155.0,Bangalore
